mac_hash,C0,C1,C2,C3,C4
b882f1d44602a25349a08f4a0af32977,0.2,0.2,0.2,0.2,0.2
86e644b498922f3a2fd0e6e1a1525de3,0.2,0.2,0.2,0.2,0.2
691662b04ee08015062d901a4c5628b1,0.2,0.2,0.2,0.2,0.2
52b5c510a28774237f4f118764c2ed6f,0.2,0.2,0.2,0.2,0.2
9f3c995e53d109f532056b6eae29a0b5,0.2,0.2,0.2,0.2,0.2
5241b01118d3dd0b018715f71cee0036,0.2,0.2,0.2,0.2,0.2
4ba186bd8012ea7b74efc45630f6a94a,0.2,0.2,0.2,0.2,0.2
0dd5a6d2e08d00018f4b96bb89fcdb15,0.2,0.2,0.2,0.2,0.2
3a5f1c99e77e4f3b04404912981c4440,0.2,0.2,0.2,0.2,0.2
2bcd2e3dadd474b0e5bb83e24f7dfac0,0.2,0.2,0.2,0.2,0.2
3b81a6a8483a95bcaebe48acce44a59d,0.2,0.2,0.2,0.2,0.2
eda93f0c0725f14e3bb5814384ab4420,0.2,0.2,0.2,0.2,0.2
ba2c59645a5128f42bd43c1098e1df00,0.2,0.2,0.2,0.2,0.2
3760d76d8e0d457d32d60722f005dfdb,0.2,0.2,0.2,0.2,0.2
2c07f2b57767c30a43391173a8faf71c,0.2,0.2,0.2,0.2,0.2
134aec67ce6580f2705f28a1f47e7e3e,0.2,0.2,0.2,0.2,0.2
93089932b8beb89ca895b3d64b5d8c6a,0.2,0.2,0.2,0.2,0.2
4eaa4f4ca751fadd20ddca36afa4ad2c,0.2,0.2,0.2,0.2,0.2
49a0757d2583357ede2e5a0f0f94af22,0.2,0.2,0.2,0.2,0.2
b8ca2b978b31c662326faf76bcafb3c8,0.2,0.2,0.2,0.2,0.2
d5a5eb6446e334c92994e48b70afaf3d,0.2,0.2,0.2,0.2,0.2
74ed0477f40c6e40d4b24a8efea4d3f2,0.2,0.2,0.2,0.2,0.2
66b1501989c999e147f6552deb3a7c59,0.2,0.2,0.2,0.2,0.2
5a2a858f9df883ebcf4e43ddd64fd45e,0.2,0.2,0.2,0.2,0.2
74a38476866fca55f559ceeed10be81b,0.2,0.2,0.2,0.2,0.2
fd34dced91f2f08e51647bb2aae831be,0.2,0.2,0.2,0.2,0.2
8696572be7a2eb61df1c5b5032b6e48a,0.2,0.2,0.2,0.2,0.2
0b198ac3745d24080c70050a95de7c95,0.2,0.2,0.2,0.2,0.2
ab3fcadce8caa6630b8c8eb352adcde3,0.2,0.2,0.2,0.2,0.2
2110efa5f2ff2e028e46acde1fbd2663,0.2,0.2,0.2,0.2,0.2
5889fbf0a7938cf3ff438bec1c6d95d9,0.2,0.2,0.2,0.2,0.2
3712fe6327e3c7a5c4d62107d6904565,0.2,0.2,0.2,0.2,0.2
6b1543e234c7b5dc88ab762dab69feba,0.2,0.2,0.2,0.2,0.2
3e315fa1aab15f23959282560578338b,0.2,0.2,0.2,0.2,0.2
b7fe48466aef81de992974d4b1cc48c4,0.2,0.2,0.2,0.2,0.2
d8a5b6f1c19293d6a2d2e4c47e350e87,0.2,0.2,0.2,0.2,0.2
ed29667cf749ab5b64bb55ea8d625891,0.2,0.2,0.2,0.2,0.2
992e14d2863935ffa46acbd2c9ff40a3,0.2,0.2,0.2,0.2,0.2
a82c12d06065803852ae17b1dfc68f08,0.2,0.2,0.2,0.2,0.2
aa05450c86724bc7a5cb538ffa17a76d,0.2,0.2,0.2,0.2,0.2
7e1dae9135cb11bbc64cf128991545a2,0.2,0.2,0.2,0.2,0.2
fad5a4dba349caa50ed3727e7cd2011e,0.2,0.2,0.2,0.2,0.2
34205efc2655e187afbf79031a7e6130,0.2,0.2,0.2,0.2,0.2
