mac_hash,C0,C1,C2,C3,C4
b882f1d44602a25349a08f4a0af32977,0.00011180609,0.00011515066,0.9997682,2.9852015e-07,4.5480288e-06
86e644b498922f3a2fd0e6e1a1525de3,2.982574e-06,1.3546912e-06,5.0293634e-06,0.0034321803,0.9965585
691662b04ee08015062d901a4c5628b1,0.99997604,1.7166538e-05,4.895289e-07,4.3451264e-06,1.8622436e-06
52b5c510a28774237f4f118764c2ed6f,3.4653935e-05,0.99994683,3.0593276e-07,1.753167e-05,5.525764e-07
9f3c995e53d109f532056b6eae29a0b5,4.6578196e-05,0.0059627,0.99398017,2.9740745e-06,7.5509447e-06
5241b01118d3dd0b018715f71cee0036,0.9998092,1.0786142e-05,0.00017570758,4.148312e-06,2.0846026e-07
4ba186bd8012ea7b74efc45630f6a94a,0.99997425,2.3192262e-05,1.519588e-07,1.3727606e-06,9.1764264e-07
0dd5a6d2e08d00018f4b96bb89fcdb15,0.9999769,1.6971733e-05,4.1809048e-07,4.1584435e-06,1.6502039e-06
3a5f1c99e77e4f3b04404912981c4440,5.4994634e-06,1.2476247e-06,5.2718624e-06,0.032240115,0.96774787
2bcd2e3dadd474b0e5bb83e24f7dfac0,0.9999751,2.0121593e-05,2.8071545e-07,2.8875745e-06,1.6003145e-06
3b81a6a8483a95bcaebe48acce44a59d,1.2273799e-06,3.8213357e-06,6.947386e-07,0.9999888,5.4348143e-06
eda93f0c0725f14e3bb5814384ab4420,3.3239685e-06,1.0498735e-06,3.895029e-06,0.0074225827,0.99256915
ba2c59645a5128f42bd43c1098e1df00,3.1560542e-06,1.3419333e-06,3.8577105e-06,0.011235436,0.98875624
3760d76d8e0d457d32d60722f005dfdb,4.257968e-06,8.775324e-07,1.4664005e-05,0.0101639535,0.9898163
2c07f2b57767c30a43391173a8faf71c,0.999884,1.2392258e-05,0.00010144652,1.959097e-06,1.5509316e-07
134aec67ce6580f2705f28a1f47e7e3e,0.99997616,1.8028593e-05,3.334911e-07,3.906918e-06,1.6002033e-06
93089932b8beb89ca895b3d64b5d8c6a,3.287582e-05,0.9999484,3.0940456e-07,1.7764596e-05,5.5169323e-07
4eaa4f4ca751fadd20ddca36afa4ad2c,5.059028e-07,7.5161324e-06,1.8118051e-07,0.99998784,3.9914908e-06
49a0757d2583357ede2e5a0f0f94af22,7.706254e-06,0.9999211,1.1393814e-06,6.83602e-05,1.6828676e-06
